ISBN13,Date Read,Bookshelves,Exclusive Shelf,Read Count,My Rating,My Review,Owned Copies
9780374518738,,owned-but-unread to-read,to-read,0,0,,1
9780060012359,,owned-but-unread to-read,to-read,0,0,,1
9780060586973,,owned-but-unread to-read,to-read,0,0,,1
9780525951650,,owned-but-unread to-read,to-read,0,0,,1
9780061316869,,owned-but-unread to-read,to-read,0,0,,1
9780061474101,,owned-but-unread to-read,to-read,0,0,,1
9780002242585,,owned-but-unread to-read,to-read,0,0,,1
9781250840103,,owned-but-unread to-read,to-read,0,0,,1
9780062444134,,owned-but-unread to-read,to-read,0,0,,1
9780062978578,,owned-but-unread to-read,to-read,0,0,,1
9780063269590,,owned-but-unread to-read,to-read,0,0,,1
9780676970654,,owned-but-unread to-read,to-read,0,0,,1
9780091951702,,owned-but-unread to-read,to-read,0,0,,1
9780140188448,,owned-but-unread to-read,to-read,0,0,,1
9780143134237,,owned-but-unread to-read,to-read,0,0,,1
9780152062422,,owned-but-unread to-read,to-read,0,0,,1
9780156028790,,owned-but-unread to-read,to-read,0,0,,1
9780156033688,,owned-but-unread to-read,to-read,0,0,,1
9780316068130,,owned-but-unread to-read,to-read,0,0,,1
9780316223331,,owned-but-unread to-read,to-read,0,0,,1
9780316306058,,owned-but-unread to-read,to-read,0,0,,1
9780316422048,,owned-but-unread to-read,to-read,0,0,,1
9780316509848,,owned-but-unread to-read,to-read,0,0,,1
9780345366764,,owned-but-unread to-read,to-read,0,0,,1
9780380809066,,owned-but-unread to-read,to-read,0,0,,1
9780385265201,,owned-but-unread to-read,to-read,0,0,,1
9780441627400,,owned-but-unread to-read,to-read,0,0,,1
9780525952923,,owned-but-unread to-read,to-read,0,0,,1
9780544611610,,owned-but-unread to-read,to-read,0,0,,1
9780552131063,,owned-but-unread to-read,to-read,0,0,,1
9780552134644,,owned-but-unread to-read,to-read,0,0,,1
9780552140294,,owned-but-unread to-read,to-read,0,0,,1
9780552142373,,owned-but-unread to-read,to-read,0,0,,1
9780552145428,,owned-but-unread to-read,to-read,0,0,,1
9780552145985,,owned-but-unread to-read,to-read,0,0,,1
9780552146166,,owned-but-unread to-read,to-read,0,0,,1
9780552148993,,owned-but-unread to-read,to-read,0,0,,1
9780552154901,,owned-but-unread to-read,to-read,0,0,,1
9780552167536,,owned-but-unread to-read,to-read,0,0,,1
9780553082524,,owned-but-unread to-read,to-read,0,0,,1
9780593135051,,owned-but-unread to-read,to-read,0,0,,1
9780593135228,,owned-but-unread to-read,to-read,0,0,,1
9780593296523,,owned-but-unread to-read,to-read,0,0,,1
9780674024458,,owned-but-unread to-read,to-read,0,0,,1
9780756415068,,owned-but-unread to-read,to-read,0,0,,1
9780756415105,,owned-but-unread to-read,to-read,0,0,,1
9780756415150,,owned-but-unread to-read,to-read,0,0,,1
9780765324641,,owned-but-unread to-read,to-read,0,0,,1
9780765378019,,owned-but-unread to-read,to-read,0,0,,1
9780765378385,,owned-but-unread to-read,to-read,0,0,,1
